City,State,% Growth (2000 - 2013),Population,Latitude,Longitude
Waukegan,Illinois,0.5,"88,826.00",42.3636331,-87.8447938
Bloomington,Minnesota,1.3,"86,319.00",44.840798,-93.2982799
Duluth,Minnesota,-0.1,"86,128.00",46.7866719,-92.1004852
Carmel,Indiana,60.4,"85,927.00",39.978371,-86.1180435
Cicero,Illinois,-1.6,"84,103.00",41.8455877,-87.7539448
Fishers,Indiana,114.8,"83,891.00",39.9567548,-86.01335
Champaign,Illinois,18.3,"83,424.00",40.1164204,-88.2433829
Troy,Michigan,2.2,"82,821.00",42.6064095,-83.1497751
O'Fallon,Missouri,62.6,"82,809.00",38.8106075,-90.6998477
Westland,Michigan,-4.7,"82,578.00",42.324204,-83.400211
Bloomington,Indiana,16.1,"82,575.00",39.165325,-86.5263857
Sioux City,Iowa,-2.9,"82,459.00",42.4999942,-96.4003069
Farmington Hills,Michigan,-0.9,"81,295.00",42.4989936,-83.3677168
Parma,Ohio,-5.9,"80,429.00",41.4047742,-81.7229086
Hammond,Indiana,-4.6,"78,967.00",41.5833688,-87.5000412
Bloomington,Illinois,20.1,"78,902.00",40.4842027,-88.9936873
Gary,Indiana,-23.4,"78,450.00",41.5933696,-87.3464271
Brooklyn Park,Minnesota,16,"78,373.00",45.0941315,-93.3563405
Racine,Wisconsin,-4.4,"78,199.00",42.7261309,-87.7828523
St. Joseph,Missouri,4.1,"77,147.00",39.7674578,-94.846681
Arlington Heights,Illinois,-0.6,"75,994.00",42.0883603,-87.9806265
Evanston,Illinois,1.9,"75,570.00",42.0450722,-87.6876969
Kalamazoo,Michigan,-1.9,"75,548.00",42.2917069,-85.5872286
Schaumburg,Illinois,-0.5,"74,907.00",42.0333607,-88.0834059
Decatur,Illinois,-8.7,"74,710.00",39.8403147,-88.9548001
Wyoming,Michigan,6.5,"74,100.00",42.9133602,-85.7053085
Plymouth,Minnesota,12,"73,987.00",45.0105194,-93.4555093
Bolingbrook,Illinois,29.7,"73,936.00",41.6986416,-88.0683955
Appleton,Wisconsin,4.5,"73,596.00",44.2619309,-88.4153847
Southfield,Michigan,-6.7,"73,006.00",42.4733688,-83.2218731
Rochester Hills,Michigan,5.7,"72,952.00",42.6583661,-83.1499322
Canton,Ohio,-10.3,"72,535.00",40.7989473,-81.378447
Iowa City,Iowa,13.8,"71,591.00",41.6611277,-91.5301683
Waukesha,Wisconsin,8,"71,016.00",43.0116784,-88.2314813
Lafayette,Indiana,14.5,"70,373.00",40.4167022,-86.8752869
Muncie,Indiana,-0.7,"70,316.00",40.1933767,-85.3863599
Palatine,Illinois,4.5,"69,350.00",42.1103041,-88.03424
Waterloo,Iowa,-0.5,"68,366.00",42.492786,-92.3425775
St. Charles,Missouri,11.3,"67,569.00",38.7881062,-90.4974359
Eau Claire,Wisconsin,8.7,"67,545.00",44.811349,-91.4984941
Bismarck,North Dakota,20.1,"67,034.00",46.8083268,-100.7837392
Oshkosh,Wisconsin,5.3,"66,778.00",44.0247062,-88.5426136
St. Cloud,Minnesota,10.9,"66,297.00",45.5579451,-94.1632404
Woodbury,Minnesota,39.8,"65,656.00",44.9238552,-92.9593797
Eagan,Minnesota,2.6,"65,453.00",44.8041322,-93.1668858
